min_sum_weight: 137
0 55 1
0 124 1
2 41 1
2 46 1
2 81 1
2 111 1
3 31 1
3 120 1
7 31 1
8 62 1
8 120 1
9 105 1
9 118 1
9 120 1
10 54 1
10 55 1
11 95 1
11 122 1
12 9 1
12 33 1
12 80 1
12 87 1
13 3 1
13 110 1
14 51 1
16 68 1
16 73 1
16 103 1
18 15 1
18 39 1
18 60 1
18 81 1
20 22 1
20 98 1
22 5 1
22 13 1
22 48 1
22 57 1
23 65 1
23 104 1
25 1 1
25 47 1
26 55 1
26 88 1
26 89 1
26 98 1
27 36 1
27 95 1
27 115 1
28 35 1
28 46 1
28 66 1
28 88 1
29 54 1
30 63 1
30 80 1
31 19 1
31 83 1
34 28 1
34 69 1
35 44 1
37 78 1
38 58 1
41 17 1
41 37 1
41 74 1
41 106 1
42 31 1
42 122 1
43 25 1
47 76 1
50 4 1
50 54 1
51 32 1
51 106 1
51 113 1
52 5 1
52 47 1
52 71 1
53 44 1
53 109 1
55 75 1
56 14 1
58 17 1
60 68 1
61 35 1
61 97 1
61 102 1
62 59 1
65 37 1
67 61 1
67 108 1
70 36 1
78 82 1
78 96 1
83 94 1
84 52 1
85 8 1
86 117 1
88 123 1
89 6 1
90 111 1
92 106 1
99 23 1
100 29 1
101 92 1
101 121 1
101 127 1
107 45 1
107 51 1
110 49 1
110 114 1
111 86 1
112 8 1
112 24 1
119 54 1
121 126 1
125 19 1
4 116 2
16 79 2
21 29 2
40 70 2
50 77 2
64 98 2
70 93 2
81 91 2
41 72 3
