min_sum_weight: 106
0 10 1
0 36 1
0 58 1
10 14 1
14 12 1
14 53 1
17 59 1
21 24 1
21 29 1
22 63 1
28 63 1
31 3 1
31 24 1
31 27 1
31 39 1
34 63 1
41 48 1
41 55 1
41 57 1
44 47 1
46 40 1
47 2 1
48 7 1
49 14 1
49 33 1
50 53 1
51 19 1
51 21 1
53 3 1
55 60 1
57 44 1
59 18 1
59 51 1
61 40 1
61 48 1
61 56 1
61 59 1
62 6 1
3 62 2
8 12 2
9 54 2
9 60 2
15 2 2
17 23 2
17 45 2
20 3 2
21 28 2
24 11 2
27 26 2
30 54 2
36 42 2
53 1 2
63 4 2
5 28 3
24 38 3
26 25 3
43 10 3
49 52 3
63 16 3
13 50 5
34 32 5
37 2 5
44 35 5
